Time,Ave_t,Max_t,Min_t,Prec,SLpress,Winddir,Windsp,Cloud
20231106,21.1,29.0,13.3,0.0,1023.4,308,9,3
20231105,21.6,29.0,14.1,2.7,1016.9,302,14,3
20231104,21.1,28.1,14.1,0.0,1014.9,315,10,3
20231103,23.3,29.5,17.1,0.0,1013.5,290,11,3
20231102,22.9,29.5,16.2,0.0,1013.7,170,5,3
20231101,21.4,28.6,14.3,0.0,1016.9,131,4,3
20231031,21.4,28.6,14.3,0.0,1020.7,145,4,3
20231030,21.4,27.4,15.4,0.0,1020.8,280,6,3
20231029,21.2,26.0,16.4,0.0,1019.3,283,6,3
20231028,18.6,20.9,16.4,0.2,1018.5,301,4,3
20231027,19.5,20.9,18.1,2.5,1017.6,313,11,3
20231026,21.1,24.1,18.1,3.2,1018.1,287,6,3
20231025,24.1,30.8,17.4,47.1,1016.9,341,8,3
20231024,21.4,30.8,12.0,0.0,1016.8,114,5,3
20231023,18.9,27.3,10.5,0.0,1019.0,132,5,3
20231022,17.9,25.2,10.5,0.0,1021.8,306,5,3
20231021,17.4,23.4,11.5,0.0,1024.3,293,6,3
20231020,18.1,21.8,14.4,0.0,1025.4,325,13,3
20231019,23.6,31.5,15.6,0.7,1020.1,334,19,3
20231018,23.0,31.5,14.5,0.0,1014.9,134,8,3
20231017,21.6,29.3,14.0,0.0,1016.9,120,6,3
